Age,CIP2 ID,CIP2,Year,Average Wage,Average Wage Appx MOE,Record Count,Total Population,Total Population MOE Appx,share
32,"30","Interdisciplinary Studies",2016,59509.240251142524,8716.958625839769,967,23413,3756.3619002404566,0.029616764406753933
32,"30","Interdisciplinary Studies",2017,62422.74861735223,9604.877774502584,1023,23144,3734.729266390064,0.028419409779057016
32,"30","Interdisciplinary Studies",2018,64738.822354869895,9560.083449797758,1044,23789,3786.409091296381,0.028209047433271947
32,"30","Interdisciplinary Studies",2019,67151.13233942204,9243.05810184055,1099,25019,3883.0512216135626,0.02869296157145544
32,"30","Interdisciplinary Studies",2020,68058.57303370787,9511.068374494233,1094,25632,3930.327019688515,0.02809266458353655
32,"30","Interdisciplinary Studies",2021,70136.02942159813,9300.83548818723,1192,26919,4027.7773293415316,0.028229675608842972
32,"30","Interdisciplinary Studies",2022,77347.26966410076,9723.443425732587,1246,28580,4150.162741054688,0.029155143516142953
32,"30","Interdisciplinary Studies",2023,79135.42210491587,9206.931222439294,1352,30310,4273.904571662237,0.030133298338542783
33,"30","Interdisciplinary Studies",2014,61741.483924963926,10022.695825687691,779,17325,3231.349779969047,0.023077630083905336
33,"30","Interdisciplinary Studies",2015,61837.037109375,9740.895585430297,829,18944,3378.9449676385902,0.024492413350847616
33,"30","Interdisciplinary Studies",2016,65045.18437694381,10167.540959508007,877,19292,3409.838688655895,0.024403819200234777
33,"30","Interdisciplinary Studies",2017,67219.36258309592,10441.11470452481,952,21060,3562.6424289668107,0.02586038584285088
33,"30","Interdisciplinary Studies",2018,69354.95180775438,10470.377539875848,1042,22929,3717.348475494681,0.027189257581129618
33,"30","Interdisciplinary Studies",2019,71073.51965083567,10413.2728952233,1116,24172,3816.767260083636,0.027721582281674765
33,"30","Interdisciplinary Studies",2020,70800.14064181782,10074.10725589404,1104,25085,3888.1703930135072,0.027493152741807678
33,"30","Interdisciplinary Studies",2021,74251.47895294074,9721.284586198883,1180,27391,4062.9292149178586,0.028724657104714803
33,"30","Interdisciplinary Studies",2022,80547.58348719735,10218.762065482453,1255,28705,4159.226890549585,0.029282659014376607
33,"30","Interdisciplinary Studies",2023,84009.16098136971,10099.201808857622,1319,30488,4286.433284911138,0.03031026063165597
34,"30","Interdisciplinary Studies",2014,64423.40931134821,9709.728389813841,845,19589,3435.9742506187936,0.02609337348996373
34,"30","Interdisciplinary Studies",2015,62731.437347188265,9833.795686500504,848,19632,3439.746820601252,0.025381918227609816
34,"30","Interdisciplinary Studies",2016,63796.077713774954,10111.328066661014,891,20138,3483.79089428921,0.025473984607833712
34,"30","Interdisciplinary Studies",2017,65751.00596497979,10026.473852193749,918,20788,3539.564379932011,0.025526386557511115
34,"30","Interdisciplinary Studies",2018,65837.06273601098,9148.093535581915,1025,23304,3747.618696762148,0.02763393338874982
34,"30","Interdisciplinary Studies",2019,73303.38623728535,11288.100554474171,1086,24283,3825.5192609251826,0.02784888228305098
34,"30","Interdisciplinary Studies",2020,78020.0920697648,11776.095061265678,1127,26317,3982.4894374842997,0.028843424385335964
34,"30","Interdisciplinary Studies",2021,78801.73284930052,11010.19182971077,1207,28235,4125.038369402364,0.029609751135468675
34,"30","Interdisciplinary Studies",2022,88433.91726997723,12687.572779475411,1284,29421,4210.770104131577,0.030013067788258983
34,"30","Interdisciplinary Studies",2023,94180.44825525416,13361.216831520163,1331,30119,4260.419829774706,0.029943411833011222
35,"30","Interdisciplinary Studies",2014,73925.92714156036,11313.482120702854,876,20931,3551.702925243564,0.02788097404249481
35,"30","Interdisciplinary Studies",2015,71224.6323960996,10658.197802691979,900,21126,3568.2109171820116,0.0273134884105789
35,"30","Interdisciplinary Studies",2016,71597.43853433407,10869.90301048228,950,21451,3595.552806715487,0.027134891440194705
35,"30","Interdisciplinary Studies",2017,74076.59057378859,11523.939826665033,1011,22639,3693.7652793362286,0.027799300811790176
